Customer ID,Product ID,Category,Sub-Category,Product Name
TB-21055,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
TB-21055,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
TB-21055,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive
TB-21055,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
TB-21055,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
KM-16720,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
KM-16720,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
KM-16720,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
KM-16720,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
PS-18970,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
BS-11590,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
BS-11590,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
KD-16270,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
HM-14980,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
TB-21520,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
JE-15745,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
JE-15745,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
JE-15745,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
KB-16600,OFF-BI-10004182,Office Supplies,Binders,Economy Binders
KB-16600,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"
KB-16600,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
JE-15745,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
SC-20770,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
SC-20770,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
DN-13690,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
DN-13690,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
JC-16105,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
CS-12400,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
PO-18865,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
PG-18895,TEC-AC-10001998,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
PG-18895,OFF-LA-10000134,Office Supplies,Labels,Avery 511
GM-14455,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager
JS-15685,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
JS-15685,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
JS-15685,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995
KB-16315,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999
KB-16315,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"
KB-16315,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
RB-19705,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
PN-18775,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
KD-16345,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders
ER-13855,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
RB-19465,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
RB-19465,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
RB-19465,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
GZ-14470,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
LC-16870,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
LC-16870,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
LC-16870,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
JM-15250,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
JM-15250,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
JM-15250,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
PA-19060,TEC-AC-10000844,Technology,Accessories,Logitech�Gaming G510s - Keyboard
CV-12805,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
CL-12565,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
CL-12565,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"
RC-19960,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
RC-19960,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
RC-19960,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921
RC-19960,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
DK-13090,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
GG-14650,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
SC-20725,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
SC-20725,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
SC-20725,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black"
SC-20725,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
SC-20725,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
AD-10180,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
PF-19165,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
TS-21610,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
TS-21610,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
LS-16975,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black"
LS-16975,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
DW-13585,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
DW-13585,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
DW-13585,OFF-FA-10002780,Office Supplies,Fasteners,Staples
LC-16885,OFF-PA-10001804,Office Supplies,Paper,Xerox 195
LC-16885,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
LC-16885,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
LC-16885,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
LC-16885,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips
LC-16885,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors
LC-16885,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
JD-15895,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
SH-19975,OFF-AR-10000940,Office Supplies,Art,Newell 343
SH-19975,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
SH-19975,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911
SG-20080,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
HA-14920,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
MG-17680,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
JE-16165,TEC-PH-10000215,Technology,Phones,Plantronics Cordless�Phone Headset�with In-line Volume - M214C
JE-16165,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
JE-16165,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
JE-16165,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
TW-21025,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
TW-21025,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded�Headset
SP-20650,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
SP-20650,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883
SP-20650,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
NK-18490,OFF-AR-10001547,Office Supplies,Art,Newell 311
DB-13060,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
NP-18670,OFF-LA-10002475,Office Supplies,Labels,Avery 519
NP-18670,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone
TT-21070,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920
EM-13960,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
RD-19900,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope
MJ-17740,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
BM-11140,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters
BM-11140,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
BM-11140,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
BM-11140,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
BM-11140,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters
BM-11140,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
BM-11140,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
CS-12130,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�"
CS-12130,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913
CS-12130,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
JB-15400,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
JB-15400,OFF-LA-10003148,Office Supplies,Labels,Avery 51
SJ-20500,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
JE-15745,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
JE-15745,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
JK-15640,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
DK-13150,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
DK-13150,TEC-AC-10004659,Technology,Accessories,Imation�Secure+ Hardware Encrypted USB 2.0�Flash Drive; 16GB
RM-19675,TEC-PH-10003273,Technology,Phones,AT&T TR1909W
RM-19675,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile)
RM-19675,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
SK-19990,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
FM-14290,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
AM-10360,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
AM-10360,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
MP-17470,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
MP-17470,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
MP-17470,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
MP-17470,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
MP-17470,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford
MZ-17515,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
CB-12025,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
CB-12025,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
VM-21685,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File
FH-14365,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
FH-14365,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
MB-17305,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
BS-11755,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
BS-11755,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
LC-17140,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
HK-14890,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
LE-16810,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
JH-15985,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray"
JH-15985,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
JH-15985,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
JH-15985,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
JH-15985,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
MS-17980,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB
VW-21775,OFF-LA-10004544,Office Supplies,Labels,Avery 505
VW-21775,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
VW-21775,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
VW-21775,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
VW-21775,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
JH-15910,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
JH-15910,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
JB-15925,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
JB-15925,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
JB-15925,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
JB-15925,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
JB-15925,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
JB-15925,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
DS-13180,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
DS-13180,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables
DS-13180,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest
VD-21670,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
VD-21670,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
EA-14035,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
CS-12400,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
CS-12400,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
CS-12400,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
CS-12400,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
CS-12400,TEC-AC-10003832,Technology,Accessories,Logitech�P710e Mobile Speakerphone
DB-13120,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
KL-16645,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
KL-16645,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
KL-16645,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings
KL-16645,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector
KL-16645,FUR-TA-10002607,Furniture,Tables,KI Conference Tables
KL-16645,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
KL-16645,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
DW-13480,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
DW-13480,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart
DW-13480,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
DW-13480,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
DW-13480,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
LH-17155,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
KC-16540,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
KC-16540,TEC-AC-10003832,Technology,Accessories,Logitech�P710e Mobile Speakerphone
DL-13315,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy"
DL-13315,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes
DR-12880,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
DR-12880,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black"
DR-12880,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
DR-12880,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e -�speaker phone
CC-12670,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
CC-12670,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving
CC-12670,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch
Dl-13600,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
SB-20290,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
SB-20290,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer
RC-19825,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone
AH-10210,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse
CB-12535,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack"
PG-18895,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands
CA-12310,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving
CA-12310,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
KH-16690,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart
HA-14920,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
HA-14920,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection
HA-14920,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders
BB-10990,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
BB-10990,OFF-AR-10001427,Office Supplies,Art,Newell 330
